3790	"Сведения по используемым спутниковым ПРМ на сети АО ""Казтелерадио""  "																
																	
	Наименование ОДРТ, ДРТ	Наименование района	Наименование РТС	 № ТВК, мгц 	Программа	Стандарт вещания	Тип приемника 	серийный , номер   .	U/A, электронный номер 	S/N, серийный номер.	Назначение 	Принадлежность ПРМ	Основная спутниковая антенна, тип антенны, размер м.	Наличие резервной спутниковой антенны, тип антенны, размер м.	Примечание 	Прием с KasSat 2	Примечание
	Мангистауская  	Бейнеуский	Акжигит	12	Казахстан	DigiCipher-II	DSR401		000-03427-02209-095	0615441334000711	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Акжигит	9	Хабар	DigiCipher-II	DSR-4400		000-03137-97477-192	0254078163001287	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Акжигит	22	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310069657	20633929094	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Бейнеуский	Акжигит		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Бейнеуский	Акжигит		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Каракиянский	Аккудук	10	Евразия	DigiCipher-II	DSR401		000-03427-01282-119	0615441333010858	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Каракиянский	Аккудук	2	Казахстан	DigiCipher-II	DSR205K		000-03454-54396-178	2019476229015477	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Каракиянский	Аккудук	7	Хабар	DigiCipher-II	DSR 402		000-03086-22254-076	070474054001843	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Каракиянский	Аккудук	28	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310070743	20633858616	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Обл. центр	Актау	22	Астана ТВ	DVB-S2	 S2400ND		2584953706-0	HC 7EB000137	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м  2 шт	Парабола 1,6 м			
	Мангистауская  	Обл. центр	Актау	107.0	"""Ретро FM""(Европа+)"	DVB-S2	Harmonic IRD 2960		J264001BA02720420023	N000001228188	Основной 	ПРМ ТРК					
	Мангистауская  	Обл. центр	Актау	1341кГц	КазРВ	DigiCipher-II	DSR401		000-03427-00926-020	061544133300724	Основной 					да	
	Мангистауская  	Обл. центр	Актау	100.1	КазРВ	DigiCipher-II	DSR-205		000-03454-57543-212	2.01948E+15	Основной 						
	Мангистауская  	Обл. центр	Актау	27	КТК	DVB-S2	 S2400ND		25853380191	КС 7ЕС005140	Основной 	"ПРМ АО ""Казтелерадио"""					
	Мангистауская  	Обл. центр	Актау	30	31канал	DVB-S2	 S2400ND		25853333703	КС 7ЕС002043	Основной 	ПРМ ТРК					
	Мангистауская  	Обл. центр	Актау	6	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310069682	20633929029	Основной 				принадлежность ПРМ ОТРК		
	Мангистауская  	Обл. центр	Актау	40	СТВ(РахатТВ)	DVB-S2	 S2400ND		25853310511	КС 7EC005133	Основной 	ПРМ ТРК					
	Мангистауская  	Обл. центр	Актау	105.4	Русс.Радио	DVB-S2	Harmonic IRD-2900 		123200	071050114	Основной 	ПРМ ТРК			CAM-модуль №37754118588 смарт-карта №0000-0122-8436		
	Мангистауская  	Обл. центр	Актау	102.1	Шалкар	DigiCipher-II	DSR-205		000-03454-59557-110	2.01948E+15	Основной 					да	
	Мангистауская  	Обл. центр	Актау	11	Евразия	DigiCipher-II	DSR205K		000-03454-58136-180	2019476235006179	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Обл. центр	Актау	3	24Kz	DigiCipher-II	DSR205K		000-03454-57521-045	2019476235007619	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Обл. центр	Актау	8	Казахстан	DigiCipher-II	DSR401		000-03427-01109-113	0615441333004680	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Обл. центр	Актау	5	Хабар	DigiCipher-II	DSR205K		000-03454-57520-182	2019476234011778	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Обл. центр	Актау	101.4	Тенгри FM	DVB-S2	S2400ND		2584901729-5	HC 7EB000138	Основной 	"ПРМ АО ""Казтелерадио"""					
	Мангистауская  	Обл. центр	Актау	52	7 канал 	DVB-S2	Tandberg RX 8330		25853291661	КС7ЕС005139	Основной 	ПРМ ТРК			принадлежность ПРМ ТРК		
	Мангистауская  	Обл. центр	Актау	105.8	"""Радио Жулдыз"""	DVB-S2					Основной 						
	Мангистауская  	Обл. центр	Актау	107.6	"""Авторадио Казахстан"""	DVB-S2	Harmonic IRD 2960		j264001BA02720613499	N000001694504	Основной 	ПРМ ТРК			принадлежность ПРМ ТРК		
	Мангистауская  	Обл. центр	Актау		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Обл. центр	Актау		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Обл. центр	Актау		2MUX	DVB-S2	ProView 7100   				Основной 						
	Мангистауская  	Обл. центр	Актау		2MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Мангистауский	Акшимрау	8	Евразия	DigiCipher-II	DSR205K		000-03454-58077-038	2019476235000443	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Мангистауский	Акшимрау	21	Казахстан	DigiCipher-II	DSR205K		000-03454-58078-016	2019476233013269	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Акшимрау	10	Хабар	DigiCipher-II	DSR205K		000-03454-56582-035	2019476235010428	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Акшимрау	103.7	Шалкар	DigiCipher-II	DSR401		000-03427-01066-201	0615441333001636	Основной 					да	
	Мангистауская  	Мангистауский	Акшимрау	31	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310064286	20633867872	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Мангистауский	Баскудук 	5	Казахстан	DigiCipher-II	DSR 402		000-03086-23139-092	1801010202000000	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Мангистауский	Баскудук 	3	Хабар	DigiCipher-II	DSR-406		000-03200-80197-015	0433120101003374	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Бейнеуский	Бейнеу	3	Евразия	DigiCipher-II	DSR-4400		000-03137-39718-003	0254017191000893	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	Парабола 2,5 м		да	
	Мангистауская  	Бейнеуский	Бейнеу	9	Казахстан	DigiCipher-II	DSR401		000-03427-04137-235	0615442012001624	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Бейнеу	23	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310066880	20633873748	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Бейнеуский	Бейнеу	1	Хабар	DigiCipher-II	DSR205K		000-03454-57550-086	2019476235012446	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Бейнеу	12	24Kz	DigiCipher-II	DSR205K		000-03454-59586-062	2019476235002980	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Бейнеу	101.3	КазРВ	DigiCipher-II	DSR205K		000-03454-59422-010	2019476234012980	Основной 					да	
	Мангистауская  	Бейнеуский	Бейнеу		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Бейнеуский	Бейнеу		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Мангистауский	Бекы	4	Казахстан	DigiCipher-II	DSR401		000-03427-00504-219	0615441333000309	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Мангистауский	Бекы	2	Хабар	DigiCipher-II	DSR401		000-03427-00558-124	0615441323002276	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Бекы	28	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310065178	20633888787	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	г.Жанаозен	Жанаозен	7	Евразия	DigiCipher-II	DSR205K		000-03454-55029-255	2019476229000145	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	г.Жанаозен	Жанаозен	4	24Kz	DigiCipher-II	DSR205K		000-03454-59569-157	2019476234012263	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	г.Жанаозен	Жанаозен	9	Казахстан	DigiCipher-II	DSR205K		000-03454-56210-205	2019476229019864	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	г.Жанаозен	Жанаозен	102.1	КазРВ	DigiCipher-II	DSR205K		000-03454-60026-014	2019476235013573	Основной 					да	
	Мангистауская  	г.Жанаозен	Жанаозен	103,5	Шалкар	DigiCipher-II	DSR205K				Основной 					да	
	Мангистауская  	г.Жанаозен	Жанаозен	26	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310064431	20633868425	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	г.Жанаозен	Жанаозен	12	Хабар	DigiCipher-II	DSR401		000-03427-00067-119	0615441333000996	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	г.Жанаозен	Жанаозен		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	г.Жанаозен	Жанаозен		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Мангистауский	Жармыш	1	Евразия	DigiCipher-II	DSR-4400		000-03137-39689-065	0254017191001180	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Мангистауский	Жармыш	38	24Kz	DigiCipher-II	DSR205K		000-03454-57455-162	2019476235010909	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Жармыш	3	Казахстан	DigiCipher-II	DSR 402		000-03086-23130-136	0707474051019988	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Жармыш	7	Хабар	DigiCipher-II	DSR-4400		000-03137-39915-178	0254017193000341	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Жармыш	48	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310065217	20633946627	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Мангистауский	Жармыш		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Мангистауский	Жармыш		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Мангистауский	Жингылды	4	Казахстан	DigiCipher-II	DSR401		000-03427-00304-001	0615441323003259	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Мангистауский	Жингылды	2	Хабар	DigiCipher-II	DSR401		000-03427-00507-237	0615441333000781	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Жингылды	32	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310064432	20633868276	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Мангистауский	Жингылды		1MUX	DVB-S2	ProView 7100   				Основной 						
	Мангистауская  	Мангистауский	Каламкас	4	Евразия	DigiCipher-II	DSR205K		000-03454-60058-162	2019476235006056	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая  d-4,0м	нет		нет	
	Мангистауская  	Мангистауский	Каламкас	25	24Kz	DigiCipher-II	DSR 402		000-03086-23084-103	0707474054000389	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Каламкас	2	Казахстан	DigiCipher-II	DSR205K		000-03454-57456-126	2019476234019392	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Каламкас	21	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310064370	20635610437	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Мангистауский	Каламкас	6	Хабар	DigiCipher-II	DSR205K		000-03454-57551-502	2019476235002676	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Каламкас	100.5	КазРВ	DigiCipher-II	DSR205K		000-03454-56167-009	2019476229027456	Основной 					нет	
	Мангистауская  	Тупкараганский	Каражанбас	7	Евразия	DigiCipher-II	DSR205K		000-03454-53435-213	2019476229004778	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Тупкараганский	Каражанбас	9	Казахстан	DigiCipher-II	DSR205K		000-03454-56587-096	2019476234004817	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Тупкараганский	Каражанбас	11	Хабар	DigiCipher-II	DSR-4400		000-03137-39954-102	0254017188000523	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Тупкараганский	Каражанбас		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Тупкараганский	Каражанбас		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Бейнеуский	Есет	6	Евразия	DigiCipher-II	DSR205K		000-03454-59571-048	2019476235009590	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Бейнеуский	Есет	28	24Kz	DigiCipher-II	DSR205K		000-03454-57519-106	2019476235005530	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Есет	8	Казахстан	DigiCipher-II	DSR205K		000-03454-57548-251	2019476235004021	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Есет	10	Хабар	DigiCipher-II	DSR205K		000-03454-58073-231	2019476235008081	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Есет	26	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310063368	20634097008	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Каракиянский	Кендерли	5	Казахстан	DigiCipher-II	DSR205K		000-03454-59582-515	2019476235009258	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Каракиянский	Кендерли	3	Хабар	DigiCipher-II	DSR401		000-03427-05452-184	0615441330010593	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Кияхты	8	Казахстан	DigiCipher-II	DSR 402		000-03086-21404-078	0707474051005172	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Мангистауский	Кияхты	12	Хабар	DigiCipher-II	DSR 402		000-03086-23465-242	0707474054004967	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Каракиянский	Курык	5	Евразия	DigiCipher-II	DSR205K		000-03454-57760-230	2019476235009972	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Каракиянский	Курык	3	24Kz	DigiCipher-II	DSR401		000-03427-00338-200	0615441323004867	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Курык	1	Казахстан	DigiCipher-II	DSR205K		000-03454-59588-082	2019476235006568	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Курык	101	КазРВ	DigiCipher-II	DSR-4400		000-03138-00463-203	0254078210004995	Основной 					да	
	Мангистауская  	Каракиянский	Курык	37	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310065167	20633888514	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Каракиянский	Курык	12	Хабар	DigiCipher-II	DSR205K		000-03454-59574-106	2019476235010206	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Курык		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Каракиянский	Курык		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Мангистауский	Кызан	5	Евразия	DigiCipher-II	DSR 402		000-03086-22860-192	0707474051014068	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Мангистауский	Кызан	1	Казахстан	DigiCipher-II	DSR205K		000-03454-59572-199	2019476235001693	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Кызан	3	Хабар	DigiCipher-II	DSR-4400		000-03137-99049-216	0254078162001486.	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Кызан	26	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310063484	20611708346	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Мангистауский	Кызан	102	Шалкар	DigiCipher-II	DSR205K		000-03454-55026-008	2019476229004730	Основной 					да	
	Мангистауская  	Мангистауский	Кызан		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Мангистауский	Кызан		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Бейнеуский	Кызыл-Аскер	3	Евразия	DigiCipher-II	DSR205K		000-03454-57525-236	2019476234014953	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Бейнеуский	Кызыл-Аскер	12	Казахстан	DigiCipher-II	DSR205K		000-03454-59293-055	2019476235008098	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Бейнеуский	Кызыл-Аскер	5	Хабар	DigiCipher-II	DSR401		000-03427-00753-099	0615441323000609	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Бейнеуский	Кызыл-Аскер	26	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310065205	20634107500	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Каракиянский	Кызылсу(Бостан)	21	Казахстан	DigiCipher-II	DSR205K		000-03454-54396-178	2019476229015477	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет		да	
	Мангистауская  	Каракиянский	Кызылсу(Бостан)	23	Хабар	DigiCipher-II	DSR205K		000-03454-59560-045	201476235004144	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Кызылсу(Бостан)	26	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310068885	20633873615	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Бейнеуский	Кызылту	10	Казахстан	DigiCipher-II	DSR401		000-03427-01010-067	0615441333010766	Основной 	"ПРМ АО ""Казтелерадио"""	офсетная d 1,2 м	нет		нет	
	Мангистауская  	Бейнеуский	Кызылту	5	Хабар	DigiCipher-II	DSR205K		000-03454-59484-114	2019476235010428	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Тупкараганский	Кызыл-Узень	3	Евразия	DigiCipher-II	DSR-4400		000-03137-97322-087	0254078144900570	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Тупкараганский	Кызыл-Узень	34	24Kz	DigiCipher-II	DSR205K		000-03454-59515-225	2019476235003390	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Тупкараганский	Кызыл-Узень	1	Казахстан	DigiCipher-II	DSR205K		000-03454-57528-175	2019476235008234	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Тупкараганский	Кызыл-Узень	101	КазРВ	DigiCipher-II	DSR205K		000-03454-57544-058	2019476234016865	Основной 					да	
	Мангистауская  	Тупкараганский	Кызыл-Узень	5	Хабар	DigiCipher-II	DSR401		000-03427-01448-121	0615441333005946	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Тупкараганский	Кызыл-Узень	28	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310069292	20634163073	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Тупкараганский	Кызыл-Узень		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Тупкараганский	Кызыл-Узень		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Каракиянский	Мунайши	32	24Kz	DigiCipher-II	DSR205K		000-03454-52832-044	2019426202002845	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Каракиянский	Мунайши	3	Хабар	DigiCipher-II	DSR-4400		000-03137-28954-016	0254017188001414	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Мунайши	1	Евразия	DigiCipher-II	DSR205K		000-03454-57529-052	2019476235010473	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Мунайши	5	Казахстан	DigiCipher-II	DSR-4400		000-03137-39293-203	0254017193000228	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Нагайты	9	Казахстан	DigiCipher-II	DSR205K		000-03454-59577-132	2019476235009309	Основной 	"ПРМ АО ""Казтелерадио"""	параболическая d-1,6м	нет		нет	
	Мангистауская  	Бейнеуский	Нагайты	7	Хабар	DigiCipher-II	DSR 402		000-03086-23590-023	0707474054006374	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Онды	7	Евразия	DigiCipher-II	DSR401		000-03427-00764-032	0615441323000593	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Мангистауский	Онды	10	Казахстан	DigiCipher-II	DSR205K		000-03454-57532-110	2019476234018500	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Онды	12	Хабар	DigiCipher-II	DSR205K		000-03454-59554-153	2019476234014335	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Онды	31	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310062967	20633931462	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Мангистауский	Онды		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Мангистауский	Онды		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Бейнеуский	Боранкул (Опорная)	5	Евразия	DigiCipher-II	DSR-4400		000-03137-39496-004	0254017190000221	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Бейнеуский	Боранкул (Опорная)	29	24Kz	DigiCipher-II	DSR205K		000-03454-58082-158	2019476235004823	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Боранкул (Опорная)	3	Казахстан	DigiCipher-II	DSR205K		000-03454-57531-153	2019476234016667	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Боранкул (Опорная)	1	Хабар	DigiCipher-II	DSR205K		000-03454-58138-025	2019476235006421	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Бейнеуский	Боранкул (Опорная)	31	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310065162	20633888639	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Бейнеуский	Боранкул (Опорная)		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Бейнеуский	Боранкул (Опорная)		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Мангистауский	Сазды	1	Евразия	DigiCipher-II	DSR-4400		000-03137-39750-103	0254017191000862	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Мангистауский	Сазды	6	Казахстан	DigiCipher-II	DSR-4400		000-03137-99298-205	0254078163005902	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Сазды	8	Хабар	DigiCipher-II	DSR 402		000-03086-23376-238	0707474054002963	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Мангистауский	Отес (Сай-Утес)	11	Евразия	DigiCipher-II	DSR-4400		000-03137-28579-017	0254017181000117	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Мангистауский	Отес (Сай-Утес)	8	24Kz	DigiCipher-II	DSR-406		000-03200-80320-094	0433120101004104	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Отес (Сай-Утес)	3	Казахстан	DigiCipher-II	DSR205K		000-03454-57537-184	2019476235004687	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Отес (Сай-Утес)	6	Хабар	DigiCipher-II	DSR-4400		000-03137-28842-133	0254017188001353	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Мангистауский	Отес (Сай-Утес)	23	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310061142	20633915671	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
	Мангистауская  	Мангистауский	Отес (Сай-Утес)		1MUX	DVB-S2	ProView 7100   				Основной 		офсетная, d 2,4 м.	офсетная, d 2,4 м.			
	Мангистауская  	Мангистауский	Отес (Сай-Утес)		1MUX	DVB S2	ProView 7100   				резерв						
	Мангистауская  	Бейнеуский	Сарша	12	Казахстан	DigiCipher-II	DSR401		000-03427-00818-128	0615441323003488	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		нет	
	Мангистауская  	Бейнеуский	Сарша	3	Хабар	DigiCipher-II	DSR205K		000-03454-59592-138	2019476235009323	Основной 	"ПРМ АО ""Казтелерадио"""				нет	
	Мангистауская  	Каракиянский	Сенек	2	Евразия	DigiCipher-II	DSR205K		000-03454-59482-030	2019476235008203	Основной 	"ПРМ АО ""Казтелерадио"""	Параболическая d-2,5м	нет		да	
	Мангистауская  	Каракиянский	Сенек	21	24Kz	DigiCipher-II	DSR205K		000-03454-53031-024	2019476202004474	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Сенек	6	Казахстан	DigiCipher-II	DSR205K		000-03454-59585-008	2019476235009460	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Сенек	4	Хабар	DigiCipher-II	DSR-4400		000-03137-99404-020	0254078163005520	Основной 	"ПРМ АО ""Казтелерадио"""				да	
	Мангистауская  	Каракиянский	Сенек	23	ОТРК(ОБЛТВ)	DVB-S2	 MT330    		201310069330	20634214553	Основной 	ПРМ ТРК			принадлежность ПРМ ОТРК		
